,Temp_Avg_C,Temp_Max_C,Temp_Min_C,Humidity_%,WindSpeed_ms,Solar_MJm2day,Rainfall_mm,ET0_mm_day,es_kPa,ea_kPa,VPD_kPa,Rn_MJm2day,Ra_MJm2day,Month
2019-01-22,6.91,13.63,1.68,51.73,3.42,16.87,0.0,3.2116479149375885,1.1251334861036528,0.5820315523614196,0.5431019337422333,9.850791040145785,36.99196147920485,1
2019-01-23,9.02,18.22,1.62,55.36,3.2,16.48,0.0,3.414914333522525,1.3896969559514964,0.7693362348147484,0.620360721136748,9.793620188155703,37.02780799294539,1
2019-01-24,10.45,19.24,3.49,60.65,2.67,16.68,0.0,3.266104699095175,1.5075186169476307,0.914310041178738,0.5932085757688926,9.983025551000686,37.0639271579748,1
2019-01-25,10.67,17.93,4.11,67.84,1.65,16.65,0.01,2.8038338042915174,1.4372507298610229,0.9750308951377179,0.46221983472330497,10.051104594968864,37.100262440675635,1
2019-01-26,11.1,19.45,3.87,54.46,1.42,16.85,0.0,3.114626690901453,1.5328478819239855,0.8347889564958024,0.698058925428183,9.975376481450144,37.1367565649263,1
2019-01-27,11.37,21.52,4.13,42.52,2.91,17.06,0.0,4.2989832401625305,1.6941460492044453,0.7203509001217302,0.9737951490827151,9.887924837206826,37.173351585583696,1
2019-01-28,10.04,18.12,2.95,55.28,2.98,17.45,0.0,3.485615052745308,1.41734772967424,0.7835098249639199,0.6338379047103202,10.247606893799215,37.20998896320428,1
2019-01-29,11.1,18.98,3.93,53.59,1.75,17.01,0.0,3.2468684835878414,1.5019579960111984,0.8048992900624012,0.6970587059487972,10.040001508188167,37.24660963991664,1
2019-01-30,12.11,19.37,5.88,44.93,1.87,17.23,0.0,3.6157990275446483,1.588000106733239,0.7134884479552442,0.8745116587779947,9.986258601307547,37.28315411635571,1
2019-01-31,11.5,19.65,6.12,45.16,1.67,14.31,0.0,3.2761825600725376,1.6155020285010924,0.7295607160710932,0.8859413124299992,8.735545109786408,37.31956252956598,1
2019-02-01,13.75,23.7,6.65,31.26,2.96,17.48,0.0,5.1762785251288115,1.9543206325791302,0.6109206297442361,1.343400002834894,9.839146195157438,37.35577473177777,2
2019-02-02,11.98,18.49,6.53,44.43,4.78,17.61,0.0,4.63959240786454,1.5492124641938347,0.6883150978413207,0.860897366352514,10.143367853126662,37.391730369957855,2
2019-02-03,7.55,14.51,2.17,46.13,3.54,18.59,0.0,3.6596283126950526,1.1832796994628607,0.5458469253622177,0.637432774100643,10.58349922474061,37.42736896603312,2
2019-02-04,7.41,13.96,0.43,40.53,2.38,18.46,0.0,3.3912864161746796,1.1123205009484556,0.45082349903440905,0.6614970019140465,10.446064384793486,37.46262999768319,2
2019-02-05,8.46,17.05,-0.65,27.78,1.67,18.95,0.0,3.6299131384646377,1.263190443895219,0.35091430531409185,0.9122761385811272,10.41370859094953,37.49745297959524,2
2019-02-06,9.56,18.55,0.76,23.02,1.82,18.75,0.0,3.9856967583498415,1.3909387181912514,0.3201940929276261,1.0707446252636252,10.193595075802794,37.531777545072224,2
2019-02-07,11.53,20.22,3.8,21.86,1.47,18.66,0.0,3.9814850079276547,1.5860997337030152,0.3467214017874791,1.239378331915536,10.080794537824907,37.56554352788336,2
2019-02-08,11.94,20.22,6.09,24.38,1.13,18.73,0.0,3.723574464134256,1.655633827174662,0.4036435270651826,1.2519903001094794,10.160627011143923,37.598691044243225,2
2019-02-09,11.87,20.54,5.93,28.96,1.37,18.8,0.0,3.8813898857860605,1.6740916840148579,0.4848169516907029,1.189274732324155,10.333852069273565,37.63116057480483,2
2019-02-10,13.38,21.51,4.98,28.58,0.89,18.94,0.0,3.560952978920545,1.7185415628668057,0.49115917866733305,1.2273823841994727,10.401618221179922,37.6628930465494,2
2019-02-11,13.95,23.08,5.0,25.09,1.63,18.97,0.0,4.36800429784849,1.8476857243653144,0.4635843482432574,1.384101376122057,10.319754247476832,37.69382991445472,2
2019-02-12,11.96,20.36,5.05,46.19,3.05,19.27,0.0,4.302173476856791,1.633130317776666,0.754342893781042,0.878787423995624,10.993894603341065,37.72391324282238,2
2019-02-13,9.54,16.31,4.26,41.47,3.26,18.98,0.0,4.069904102185372,1.341434206387492,0.5562927653888929,0.7851414409985991,10.717920968737559,37.75308578614322,2
2019-02-14,8.04,16.2,1.94,32.45,3.18,20.07,0.0,4.312991273425294,1.2721311611064077,0.4128065617790293,0.8593245993273784,10.998500628178155,37.781291069379385,2
2019-02-15,7.54,15.95,1.36,30.93,3.12,19.81,0.0,4.270134653319949,1.2432278132000345,0.3845303626227707,0.8586974505772638,10.866947326724686,37.808473467541035,2
2019-02-16,8.4,17.2,2.28,32.16,3.62,19.36,0.0,4.590864563260206,1.3411663840148242,0.4313191090991674,0.9098472749156569,10.708242295984105,37.83457828443514,2
2019-02-17,8.86,15.26,5.25,32.24,4.23,12.37,0.0,4.302092236403109,1.3108768763136387,0.4226267049235171,0.8882501713901216,7.818619097237086,37.859551830463786,2
2019-02-18,6.61,11.21,2.67,56.02,3.9,11.33,0.0,2.666398180236165,1.0356762984131067,0.5801858623710224,0.4554904360420843,7.537173381589579,37.88334149934991,2
2019-02-19,10.32,15.96,5.79,33.83,6.1,11.28,0.0,4.831035103852823,1.3676235967979076,0.46266706279673214,0.9049565340011754,7.388798197751646,37.90589584366827,2
2019-02-20,11.69,19.08,6.26,41.05,4.87,18.37,0.0,4.979479046267781,1.580230056205398,0.6486844380723158,0.9315456181330821,10.494572599364455,37.92716464906071,2
2019-02-21,12.3,21.07,5.69,38.38,3.6,19.17,0.0,4.959135867379753,1.7064739458215592,0.6549447004063145,1.0515292454152447,10.80657145256469,37.94709900701562,2
2019-02-22,13.46,20.66,6.04,36.35,2.69,19.08,0.0,4.561518621606427,1.686619850041442,0.6130863154900641,1.073533534551378,10.711080814953057,37.96565138609265,2
2019-02-23,12.91,21.76,4.79,21.99,2.55,21.99,0.0,5.2620979316916925,1.73255355142229,0.38098852595776156,1.3515650254645286,11.435735748516121,37.982775701475504,2
2019-02-24,11.66,20.4,5.01,26.55,3.51,20.63,0.0,5.418428882916422,1.634865235141514,0.434056719930072,1.200808515211442,11.070941281212491,37.998427382737525,2
2019-02-25,8.56,15.14,3.51,40.23,4.3,21.74,0.0,4.419859628033473,1.2532070178059591,0.5041651832633374,0.7490418345426217,11.911731011074298,38.012563439706874,2
2019-02-26,9.21,17.68,0.98,33.79,2.39,22.17,0.0,4.229926719081556,1.3392932830883997,0.4525472003555702,0.8867460827328295,11.975647445446874,38.025142526320444,2
2019-02-27,8.7,15.73,3.36,46.46,3.54,21.9,0.0,4.065506528698143,1.282255779966094,0.5957360353722473,0.6865197445938468,12.143851259050244,38.03612500235884,2
2019-02-28,10.58,19.19,1.84,33.75,1.7,21.88,0.0,4.05397121874095,1.460588899710231,0.492948753652203,0.967640146058028,11.857268572685086,38.0454729929571,2
2019-03-01,13.51,21.65,7.45,22.4,0.86,22.34,0.0,3.9668603102751683,1.8106455006603135,0.4055845921479102,1.4050609085124033,11.557047013837224,38.053150445789754,3
2019-03-02,14.15,24.31,6.06,19.72,1.49,22.34,0.0,4.79965539939171,1.9894462031692297,0.39231879126497204,1.5971274119042578,11.461599374597217,38.059123185832014,3
2019-03-03,15.41,24.48,7.16,17.97,1.52,21.81,0.0,4.848568958137827,2.0419464782311136,0.3669377821381311,1.6750086960929824,11.152874679206075,38.06335896760309,3
2019-03-04,16.48,25.56,9.21,16.62,1.37,21.66,0.0,4.849901410858549,2.219721471485557,0.3689177085608996,1.8508037629246574,10.984702171097144,38.06582752480097,3
2019-03-05,16.18,26.17,9.48,17.32,1.85,22.25,0.0,5.513595964366732,2.2905959931261277,0.3967312260094453,1.8938647671166824,11.2353223999616,38.06650061724349,3
2019-03-06,16.47,26.79,8.71,19.28,2.57,22.3,0.0,6.2254077666613785,2.323705649000985,0.44801044912738985,1.875695199873595,11.38417617382103,38.06535207503405,3
2019-03-07,16.32,24.4,9.18,21.11,2.07,20.02,0.0,5.207461153491627,2.109204228511919,0.445253012638866,1.6639512158730527,10.597368438924978,38.0623578398757,3
2019-03-08,15.15,19.85,10.5,39.88,7.46,16.56,0.0,5.986056042533455,1.7931870855941299,0.715123009734939,1.0780640758591908,9.711792658778805,38.057496003462326,3
2019-03-09,15.17,20.89,9.28,36.14,9.16,9.69,0.0,6.367402032042998,1.8201046262070428,0.6577858119112253,1.1623188142958174,6.759639125556381,38.05074684288066,3
2019-03-10,16.59,22.99,11.9,25.2,6.94,12.3,0.0,7.405453416814546,2.100540491862186,0.529336203949271,1.571204287912915,7.715739937408045,38.04209285296243,3
2019-03-11,16.24,24.69,8.67,30.84,3.06,23.55,0.0,5.94326924859574,2.116234340099273,0.6526466704866158,1.4635876696126573,12.430325944985146,38.03151877553158,3
2019-03-12,16.09,23.95,10.0,36.08,3.62,23.91,0.0,6.0328445012569984,2.1014683803704153,0.7582097916376459,1.3432585887327693,12.785125145106798,38.01901162549729,3
2019-03-13,17.17,26.19,9.61,32.81,1.34,24.56,0.0,4.937197718691535,2.2978084122898412,0.7539109400722969,1.5438974722175445,12.964403112892604,38.0045607137491,3
2019-03-14,16.42,24.0,9.78,33.31,3.08,24.13,0.0,5.864255890015946,2.096947018226661,0.6984930517713008,1.3984539664553604,12.74928847995361,37.988157666816896,3
2019-03-15,15.81,24.44,7.75,25.97,1.9,24.59,0.0,5.295237083739762,2.059137481795359,0.5347580040222547,1.5243794777731043,12.603875279773789,37.9697964432645,3
2019-03-16,15.59,24.24,8.08,23.22,1.83,24.98,0.0,5.320411929118021,2.0529003751219657,0.4766834671033204,1.5762169080186452,12.59339351041006,37.94947334679163,3
2019-03-17,17.32,26.11,9.08,22.05,1.59,24.65,0.0,5.303682525981943,2.268819769122394,0.5002747590914879,1.768545010030906,12.39150488895358,37.92718703602563,3
2019-03-18,18.51,26.16,10.28,24.21,2.17,24.64,0.0,5.81443244514676,2.322279018129924,0.5622237502892546,1.7600552678406696,12.493375395654997,37.90293853099052,3
2019-03-19,17.99,25.25,10.31,30.89,2.44,24.6,0.0,5.737696886600803,2.234481529419819,0.690231344437782,1.5442501849820367,12.823657954568146,37.87673121624727,3
2019-03-20,13.94,19.65,9.43,38.12,4.27,24.77,0.0,5.64377921235195,1.734968543596076,0.6613700088188241,1.0735985347772519,13.104841273667489,37.848570840705804,3
2019-03-21,12.4,18.67,6.22,36.32,2.82,24.58,0.0,4.853631486676305,1.5510037696876826,0.5633245691505664,0.9876792005371162,12.959739186555272,37.81846551411546,3
2019-03-22,12.9,20.1,6.32,43.9,3.07,25.24,0.0,4.906785950979719,1.6544122423549448,0.7262869743938207,0.928125267961124,13.537658151697011,37.786425700247115,3
2019-03-23,13.66,20.96,7.75,44.84,2.46,21.18,0.38,4.454461084823688,1.767770333269835,0.792668217438194,0.9751021158316409,11.804624603987204,37.7524642067864,3
2019-03-24,15.86,22.57,10.9,38.8,2.73,23.85,1.28,5.329667280474805,2.020603591416855,0.7839941934697396,1.2366093979471153,12.771241681083799,37.71659617196387,3
2019-03-25,17.53,26.2,9.68,31.18,4.73,18.46,0.0,6.7354133494675335,2.301632282296156,0.7176489456199414,1.5839833366762144,10.305419629017367,37.678839047954085,3
2019-03-26,21.02,28.47,14.26,35.04,4.72,18.69,0.86,7.070569899767346,2.755195290619274,0.9654204298329936,1.7897748607862805,10.56495167649291,37.639212581081566,3
2019-03-27,19.64,25.69,14.14,42.69,3.74,23.23,0.0,6.118780526586364,2.4567583722728235,1.0487901491232683,1.4079682231495552,12.748965588695079,37.597738788877834,3
2019-03-28,17.75,24.99,11.65,43.19,2.86,22.87,0.0,5.433129550115522,2.268205932848725,0.9796381423973642,1.2885677904513608,12.56559987188715,37.55444193403926,3
2019-03-29,17.46,24.95,9.91,47.74,4.09,24.53,0.0,5.792213215265955,2.1894659715138776,1.0452510548007252,1.1442149167131523,13.475049603910094,37.509348495341406,3
2019-03-30,14.71,16.98,13.21,51.82,4.74,10.73,4.07,3.9763497910967436,1.7268724099082342,0.894865282814447,0.8320071270937872,7.233459523113806,37.46248713557073,3
2019-03-31,15.62,21.7,11.42,62.77,2.69,13.78,6.12,3.4027779823617483,1.9728926795864525,1.2383847349764163,0.7345079446100362,8.77274009152863,37.41388866654043,3
2019-04-01,16.02,23.12,9.45,54.89,2.6,26.08,0.0,4.914018994544056,2.006662675414688,1.1014571425351225,0.9052055328795656,14.350920486584812,37.363586011261496,4
2019-04-02,18.1,25.86,10.7,40.71,2.73,24.6,0.0,5.662339754558143,2.3102429110788476,0.9404998891001989,1.3697430219786488,13.193173483981377,37.31161416334595,4
2019-04-03,19.54,26.75,10.59,38.64,4.36,21.01,0.02,6.330599478687524,2.3953722908743424,0.9255718531938459,1.4698004376804965,11.5770152238433,37.258010143722856,4
2019-04-04,19.12,25.09,13.3,39.14,6.48,20.72,0.01,7.0896128657300705,2.3561086240585354,0.9221809154565108,1.4339277086020246,11.413926249241904,37.20281295475312,4
2019-04-05,16.76,23.99,9.51,44.73,2.73,27.53,0.0,5.523576169660335,2.0851733153685217,0.9326980239643397,1.152475291404182,14.545816551128992,37.14606353183271,4
2019-04-06,14.4,20.75,8.68,36.39,3.78,27.94,0.0,5.8417630477730835,1.7862733286608496,0.6500248642996832,1.1362484643611666,14.186574428002457,37.087804692577805,4
2019-04-07,15.49,23.23,6.69,33.03,1.86,28.48,0.0,5.2587929584521405,1.914745019140745,0.6324402798221881,1.282304739318557,14.298034579717616,37.02808108368954,4
2019-04-08,17.32,26.35,9.07,25.45,2.27,28.42,0.0,6.1477020652497965,2.292559198708324,0.5834563160712685,1.7091028826370553,13.805970639008333,36.9669391255988,4
2019-04-09,18.55,26.94,8.9,25.42,1.79,27.31,0.0,5.681861429064603,2.3465684868879837,0.5964977093669256,1.7500707775210582,13.374812177088662,36.90442695499503,4
2019-04-10,19.13,27.08,10.88,34.39,2.05,27.25,0.0,5.792383057538993,2.4421938425769256,0.8398704624622046,1.602323380114721,13.904904467231756,36.84059436534555,4
2019-04-11,18.44,24.85,11.5,29.27,3.42,28.12,0.0,6.6611449477293,2.2482850295305985,0.6580730281436062,1.5902120013869923,13.829155945000192,36.775492745514484,4
2019-04-12,15.72,23.48,10.52,42.83,4.46,19.61,0.0,5.634066352153668,2.081728029090163,0.8916041148593168,1.1901239142308464,10.928996438522564,36.70917501659252,4
2019-04-13,17.22,24.92,9.95,38.92,2.69,28.33,0.0,5.870599814314067,2.1882841160315767,0.8516801779594896,1.336603938072087,14.4893510029925,36.641695567050654,4
2019-04-14,17.52,26.35,8.09,20.95,1.83,29.04,0.0,5.8338922849421255,2.2554899392820142,0.472525142279582,1.7829647970024323,13.590182766984402,36.5731101863327,4
2019-04-15,20.68,30.92,10.61,18.54,2.64,28.09,0.0,7.261713457787376,2.8756199176468416,0.5331399327317243,2.3424799849151174,13.009833508502801,36.50347599700227,4
2019-04-16,23.02,32.89,13.45,19.3,2.91,27.54,0.0,7.833332414214679,3.2708138569084904,0.6312670743833386,2.6395467825251515,12.849425965526398,36.43285138556145,4
2019-04-17,24.55,33.2,16.32,16.46,2.93,28.6,0.0,8.138086377499235,3.471319598850332,0.5713792059707646,2.899940392879567,12.814691292447248,36.3612959320584,4
2019-04-18,24.54,34.41,15.69,15.66,4.1,23.74,0.0,9.305221503686687,3.612246689077024,0.5656778315094619,3.0465688575675625,11.10535143655417,36.28887033860209,4
2019-04-19,19.99,27.67,13.15,36.79,4.32,28.2,0.0,7.327905173664086,2.610217980482585,0.960299195019543,1.649918785463042,14.305440564363352,36.215636356901825,4
2019-04-20,19.44,27.58,10.89,32.62,3.12,27.46,0.0,6.611059769525624,2.49580867962332,0.814132791293127,1.6816758883301932,13.705184929276239,36.14165671494949,4
2019-04-21,17.21,23.67,11.1,39.37,3.76,23.25,0.24,5.79995707174884,2.1233939309773007,0.8359801906257632,1.2874137403515373,12.204315530580756,36.06699504296152,4
2019-04-22,17.75,24.6,10.14,39.22,2.08,27.34,0.0,5.368216126713255,2.1663058219200058,0.8496251433570262,1.3166806785629794,13.903724342902159,35.991715798697044,4
2019-04-23,19.77,28.57,11.29,27.43,3.27,27.98,0.0,7.126738393195343,2.6227214013907765,0.71941248040149,1.9033089209892866,13.497323004426057,35.9158841922674,4
2019-04-24,21.55,29.15,13.92,28.64,2.46,28.85,0.0,6.688001588042193,2.8154280852182554,0.8063386036065083,2.0090894816117473,13.900600442664167,35.83956611055116,4
2019-04-25,23.13,31.36,13.83,23.12,2.15,29.47,0.0,6.807614478324626,3.0832734555202292,0.712852822916277,2.370420632603952,13.674742803938784,35.76282804132672,4
2019-04-26,23.52,32.37,14.42,25.41,2.8,29.26,0.0,7.549661816239148,3.248898600410941,0.8255451343644201,2.423353466046521,13.840722042842078,35.68573699723319,4
2019-04-27,23.35,31.4,16.07,30.65,4.71,29.11,0.0,8.764570336100613,3.2111748735922077,0.9842250987560116,2.226949774836196,14.209456693391997,35.608360439668004,4
2019-04-28,23.31,31.17,15.72,28.23,3.17,29.63,0.0,7.6948175899243525,3.1611386180857766,0.8923894318856147,2.2687491862001616,14.146233809530068,35.53076620272746,4
2019-04-29,23.17,30.23,15.43,30.16,2.01,26.85,0.03,6.195975199561533,3.0262481778599053,0.9127164504425473,2.113531727417358,13.176026993688682,35.45302241729377,4
2019-04-30,25.72,33.48,18.31,37.99,2.38,28.71,0.0,7.03705263383868,3.6358686032824292,1.381266482386995,2.2546021208954343,14.809112337565766,35.37519743536991,4
2019-05-01,25.06,30.38,18.59,31.76,3.14,19.06,0.03,6.447819444208153,3.239119891222483,1.0287444774522605,2.2103754137702225,10.202294187835705,35.297359754760265,5
2019-05-02,26.13,34.64,18.98,22.43,5.45,28.6,0.0,10.654675295920846,3.8532089034741794,0.8642747570492585,2.988934146424921,13.178278930200257,35.21957794419243,5
2019-05-03,23.82,31.82,15.67,39.17,3.85,28.82,0.02,7.691963066316568,3.243468689997134,1.2704666858718774,1.9730020041252567,14.72201714859737,35.141920568972076,5
2019-05-04,23.02,29.92,15.02,35.17,2.51,29.65,0.0,6.697420266046672,2.9655886709316333,1.0429975355666554,1.9225911353649778,14.569173521779001,35.064456117259844,5
2019-05-05,24.21,31.18,16.0,30.34,2.09,29.86,0.0,6.647570673556215,3.178561317761786,0.9643755038089259,2.2141858139528603,14.264678956815242,34.98725292705555,5
2019-05-06,26.4,34.17,18.26,21.71,1.36,29.82,0.0,6.251365017763112,3.733894947524031,0.8106285931074672,2.923266354416564,13.396773142973805,34.91037911397157,5
2019-05-07,26.71,35.76,17.04,18.17,2.38,30.23,0.0,7.761723758556023,3.9029289626309525,0.7091621925100442,3.1937667701209085,13.098800421546011,34.83390249987373,5
2019-05-08,28.03,37.37,18.9,13.55,2.77,30.72,0.0,8.662866406426941,4.293051192286783,0.5817084365548592,3.711342755731924,12.456515810592693,34.75789054246444,5
2019-05-09,28.32,36.85,18.15,14.42,1.9,30.88,0.0,7.247846248808556,4.153633066982867,0.5989538882589295,3.554679178723938,12.641059269004304,34.68241026587882,5
2019-05-10,29.35,37.77,21.95,10.91,1.36,31.08,0.0,6.528495089951915,4.589346964644186,0.5006977538426807,4.088649210801505,11.867537063562434,34.60752819236122,5
2019-05-11,28.93,38.45,19.66,11.52,2.51,29.76,0.0,8.349768556688954,4.538590775666764,0.5228456573568112,4.015745118309953,11.6838397820972,34.533310275085334,5
2019-05-12,29.93,37.93,20.34,13.39,2.29,31.13,0.0,7.945380643612577,4.49383680249063,0.6017247478534955,3.892112054637135,12.395184046268065,34.45982183217774,5
2019-05-13,28.27,35.76,20.6,19.05,3.14,30.17,0.0,8.718557155634592,4.14488175920795,0.7895999751291144,3.3552817840788354,12.99008193260573,34.38712748200041,5
2019-05-14,25.6,33.01,19.14,16.5,3.06,31.23,0.0,8.384859199898884,3.624814580703468,0.5980944058160723,3.0267201748873958,12.832174651920834,34.31529107974465,5
2019-05-15,25.2,34.64,15.61,15.86,2.62,30.36,0.0,7.892777836519416,3.6426240934682834,0.5777201812240698,3.0649039122442137,12.554872095967601,34.24437565538434,5
2019-05-16,29.46,38.28,20.33,12.21,1.3,31.25,0.0,6.412535068740362,4.556097349596662,0.5562994863857526,3.9997978632109095,12.063399800693276,34.17444335303346,5
2019-05-17,30.79,39.31,22.39,13.66,3.02,30.93,0.0,9.274506376763856,4.908047384888799,0.67043927277581,4.237608112112989,12.23209164679482,34.10555537174866,5
2019-05-18,26.19,33.4,19.22,14.68,2.9,23.94,0.0,7.6543629199300725,3.6859234941623864,0.5410935689430383,3.144829925219348,10.285424464137305,34.03777190781437,5
2019-05-19,25.92,34.41,16.94,21.22,3.49,29.26,0.0,8.592432004793618,3.686136502629863,0.7821981658580569,2.903938336771806,12.821902454806132,33.97115209854441,5
2019-05-20,25.23,32.26,18.35,22.88,4.44,28.79,0.0,9.076344180080532,3.467466170290527,0.7933562597624726,2.6741099105280544,12.742900719065334,33.905753967630474,5
2019-05-21,26.45,32.33,19.87,35.56,2.37,27.19,0.0,6.701022334648089,3.5818469601687717,1.2737047790360152,2.3081421811327565,13.456800445255853,33.841634372064725,5
2019-05-22,28.23,34.56,22.3,29.22,3.08,25.16,0.0,7.737381797122278,4.090020274172881,1.195103924113316,2.8949163500595647,12.221092828027897,33.77884895066062,5
2019-05-23,28.8,35.4,21.86,33.05,2.86,25.71,0.01,7.496597893251644,4.184820365040565,1.3830831306459066,2.8017372343946585,12.84779692588915,33.71745207419268,5
2019-05-24,29.36,36.42,21.71,30.45,3.1,26.09,0.0,7.97510736531877,4.33841689023682,1.3210479430771116,3.0173689471597083,12.786438225089615,33.65749679717332,5
2019-05-25,28.51,35.3,22.32,22.97,4.45,28.73,0.0,9.817908141246605,4.206263063742979,0.9661786257417622,3.2400844380012166,12.757404547532696,33.59903481128183,5
2019-05-26,23.65,29.91,16.93,29.34,3.85,31.35,0.0,7.998585094942249,3.0751804021688134,0.9022579299963298,2.1729224721724836,14.139602111580356,33.54211640045787,5
2019-05-27,24.85,31.77,16.65,24.12,2.0,30.65,0.0,6.645597227632881,3.294245170750685,0.7945719351850652,2.4996732355656195,13.36124972651139,33.48679039766954,5
2019-05-28,27.74,35.79,18.95,21.3,3.05,30.66,0.0,8.435778849037993,4.031717118034618,0.8587557461413736,3.1729613718932446,13.137495229972378,33.43310414336337,5
2019-05-29,29.56,37.67,20.76,18.26,2.27,29.9,0.0,7.715833365729538,4.479016155323404,0.8178683499620536,3.6611478053613498,12.45840732764411,33.38110344560167,5
2019-05-30,29.5,36.98,21.94,19.91,3.0,29.43,0.0,8.573316196915153,4.451130137483981,0.8862200103730605,3.5649101271109203,12.519758353718485,33.33083254189022,5
2019-05-31,27.77,34.63,20.87,24.99,4.29,28.84,0.0,9.310453629149876,3.9879632010602415,0.9965920039449543,2.991371197115287,12.907525848821036,33.28233406269773,5
2019-06-01,25.57,31.24,19.83,29.22,2.3,29.66,4.58,6.856141538231736,3.434064750830058,1.003433720192543,2.4306310306375147,13.489279104991123,33.23564899666656,6
2019-06-02,26.49,33.87,18.91,23.98,3.13,30.93,0.0,8.194406264913203,3.732982183721389,0.8951691276563891,2.837813056065,13.41359457371318,33.19081665751231,6
2019-06-03,27.96,36.43,19.38,20.77,2.54,30.89,0.0,7.964564864014525,4.166316912146659,0.865344022652861,3.3009728894937975,13.04549198744196,33.14787465260905,6
2019-06-04,30.62,38.85,23.07,19.24,2.49,29.45,0.0,8.21252199735656,4.8783610669950885,0.938596669289855,3.9397643977052335,12.421828633634293,33.1068588532552,6
2019-06-05,28.59,33.95,24.55,23.69,2.96,19.43,0.0,7.2786559577331085,4.194161368996104,0.993596828315177,3.200564540680927,9.460216467308918,33.06780336661391,6
2019-06-06,29.22,37.9,21.4,17.52,3.0,30.99,0.0,8.906053499611579,4.568895064341443,0.8004704152726208,3.7684246490688222,12.516982688318443,33.03074050932124,6
